Did you try a plant-based item while attending the show?,"On scale of 1-5, how would you rate your experience with the item(s) you tried?","If given the opportunity, would you try a plant-based item at a future show?",
No,I did not try a plant-based menu item,Yes,1110
Yes,5 (Very Satisfied),Yes,1110
No,5 (Very Satisfied),Yes,1110
No,I did not try a plant-based menu item,Yes,1110
No,5 (Very Satisfied),Yes,1110
No,I did not try a plant-based menu item,Yes,1110
No,4 (Satisfied),Yes,1110
Yes,3 (Neutral),Yes,1110
No,"5 (Very Satisfied)
I did not try a plant-based menu item",Yes,1110
Yes,5 (Very Satisfied),Yes,1110
No,4 (Satisfied),Yes,1110
No,,Yes,1110
No,I did not try a plant-based menu item,Yes,1110
No,5 (Very Satisfied),Yes,1110
No,5 (Very Satisfied),No,1110
Yes,5 (Very Satisfied),Yes,1110
No,I did not try a plant-based menu item,,1110
Yes,1 (Very Unsatisfied),Yes,1110
No,I did not try a plant-based menu item,Yes,1110
No,I did not try a plant-based menu item,Yes,1110
"No
Not Sure",5 (Very Satisfied),Yes,1110
No,"5 (Very Satisfied)
I did not try a plant-based menu item",,1110
Yes,1 (Very Unsatisfied),No,1110
No,4 (Satisfied),Yes,1110
No,4 (Satisfied),Yes,1110
No,5 (Very Satisfied),Yes,1110
No,4 (Satisfied),Yes,1110
Yes,5 (Very Satisfied),Yes,1110
No,I did not try a plant-based menu item,No,1110
Yes,4 (Satisfied),Yes,1110
Yes,3 (Neutral),Yes,1110
No,I did not try a plant-based menu item,No,1110
No,I did not try a plant-based menu item,Yes,1110
No,I did not try a plant-based menu item,Yes,1110
No,I did not try a plant-based menu item,No,1110
Not Sure,5 (Very Satisfied),Yes,1110
No,I did not try a plant-based menu item,Yes,1110
Yes,1 (Very Unsatisfied),No,1110
No,I did not try a plant-based menu item,No,1110
No,I did not try a plant-based menu item,Yes,1110
Yes,2 (Unsatisfied),Yes,1110
No,5 (Very Satisfied),Yes,1110
No,5 (Very Satisfied),Yes,1110
No,4 (Satisfied),No,1110
No,I did not try a plant-based menu item,Yes,1110
No,I did not try a plant-based menu item,No,1110
No,5 (Very Satisfied),No,1110
No,4 (Satisfied),No,1110
No,4 (Satisfied),Yes,1110
No,I did not try a plant-based menu item,No,1110
No,I did not try a plant-based menu item,Yes,1110
No,5 (Very Satisfied),Yes,1110
No,I did not try a plant-based menu item,Yes,1110
Yes,5 (Very Satisfied),Yes,1110
No,,,1110
No,5 (Very Satisfied),Yes,1110
No,I did not try a plant-based menu item,Yes,1110
No,I did not try a plant-based menu item,Yes,1110
No,I did not try a plant-based menu item,No,1110
No,4 (Satisfied),Yes,1110
No,3 (Neutral),Yes,1110
No,4 (Satisfied),No,1110
No,,Yes,1110
Yes,4 (Satisfied),Yes,1110
No,I did not try a plant-based menu item,No,1110
Yes,"4 (Satisfied)
3 (Neutral)",,1110
No,,Yes,1110
No,I did not try a plant-based menu item,Yes,1110
Yes,5 (Very Satisfied),Yes,1110
No,I did not try a plant-based menu item,Yes,1110
No,5 (Very Satisfied),Yes,1110
No,I did not try a plant-based menu item,No,1110
Yes,5 (Very Satisfied),Yes,1110
No,5 (Very Satisfied),Yes,1110
Yes,5 (Very Satisfied),Yes,1110
Yes,4 (Satisfied),Yes,1110
No,I did not try a plant-based menu item,Yes,1110
No,5 (Very Satisfied),Yes,1110
No,I did not try a plant-based menu item,No,1110
No,5 (Very Satisfied),Yes,1110
No,4 (Satisfied),No,1110
Yes,5 (Very Satisfied),Yes,1110
Yes,5 (Very Satisfied),Yes,1110
No,I did not try a plant-based menu item,Yes,1110
No,4 (Satisfied),Yes,1110
No,I did not try a plant-based menu item,Yes,1110
Yes,4 (Satisfied),Yes,1110
No,5 (Very Satisfied),Yes,1110
Not Sure,3 (Neutral),No,1110
"Yes
No",5 (Very Satisfied),Yes,1110
No,I did not try a plant-based menu item,Yes,1110
No,I did not try a plant-based menu item,Yes,1110
No,I did not try a plant-based menu item,Yes,1110
No,I did not try a plant-based menu item,No,1110
No,3 (Neutral),Yes,1110
No,I did not try a plant-based menu item,Yes,1110
No,3 (Neutral),Yes,1110
No,4 (Satisfied),Yes,1110
No,I did not try a plant-based menu item,Yes,1110
No,5 (Very Satisfied),No,1110
No,4 (Satisfied),Yes,1110
No,4 (Satisfied),Yes,1110
No,I did not try a plant-based menu item,"Yes
No",1110
No,I did not try a plant-based menu item,No,1110
No,I did not try a plant-based menu item,Yes,1110
No,I did not try a plant-based menu item,Yes,1110
No,4 (Satisfied),Yes,1110
No,I did not try a plant-based menu item,,1110
Yes,2 (Unsatisfied),No,1110
No,I did not try a plant-based menu item,Yes,1110
No,I did not try a plant-based menu item,No,1110
No,I did not try a plant-based menu item,Yes,1110
No,I did not try a plant-based menu item,,1110
Yes,5 (Very Satisfied),Yes,1110
No,I did not try a plant-based menu item,No,1110
Yes,5 (Very Satisfied),Yes,1110
Yes,1 (Very Unsatisfied),No,1110
No,5 (Very Satisfied),Yes,1110
Yes,1 (Very Unsatisfied),Yes,1110
No,I did not try a plant-based menu item,Yes,1110
Yes,5 (Very Satisfied),Yes,1110
No,I did not try a plant-based menu item,Yes,1110
Yes,5 (Very Satisfied),Yes,1110
No,I did not try a plant-based menu item,Yes,1110
No,I did not try a plant-based menu item,,1110
No,5 (Very Satisfied),Yes,1110
No,I did not try a plant-based menu item,Yes,1110
Yes,5 (Very Satisfied),Yes,1110
No,I did not try a plant-based menu item,Yes,1110
Yes,5 (Very Satisfied),Yes,1110
Yes,5 (Very Satisfied),Yes,1110
No,4 (Satisfied),Yes,1110
No,I did not try a plant-based menu item,No,1110
No,I did not try a plant-based menu item,Yes,1110
No,5 (Very Satisfied),Yes,1110
No,I did not try a plant-based menu item,Yes,1110
Yes,5 (Very Satisfied),Yes,1111
No,4 (Satisfied),Yes,1111
No,I did not try a plant-based menu item,Yes,1111
,,Yes,1111
Not Sure,I did not try a plant-based menu item,Yes,1111
Yes,"5 (Very Satisfied)
4 (Satisfied)",Yes,1111
Not Sure,5 (Very Satisfied),Yes,1111
Yes,5 (Very Satisfied),Yes,1111
No,5 (Very Satisfied),Yes,1111
Yes,5 (Very Satisfied),Yes,1111
No,I did not try a plant-based menu item,Yes,1111
Yes,2 (Unsatisfied),No,1111
Not Sure,I did not try a plant-based menu item,Yes,1111
No,I did not try a plant-based menu item,Yes,1111
No,I did not try a plant-based menu item,Yes,1111
Yes,5 (Very Satisfied),Yes,1111
Yes,1 (Very Unsatisfied),No,1111
No,"4 (Satisfied)
I did not try a plant-based menu item",No,1111
Not Sure,5 (Very Satisfied),Yes,1111
No,I did not try a plant-based menu item,Yes,1111
No,4 (Satisfied),Yes,1111
No,5 (Very Satisfied),Yes,1111
No,I did not try a plant-based menu item,No,1111
No,5 (Very Satisfied),No,1111
No,I did not try a plant-based menu item,No,1111
No,I did not try a plant-based menu item,Yes,1111
No,I did not try a plant-based menu item,Yes,1111
Yes,5 (Very Satisfied),Yes,1111
No,I did not try a plant-based menu item,Yes,1111
No,I did not try a plant-based menu item,No,1111
No,I did not try a plant-based menu item,Yes,1111
Yes,5 (Very Satisfied),Yes,1111
Yes,1 (Very Unsatisfied),No,1111
No,I did not try a plant-based menu item,Yes,1111
No,5 (Very Satisfied),Yes,1111
No,I did not try a plant-based menu item,Yes,1111
No,I did not try a plant-based menu item,Yes,1111
No,I did not try a plant-based menu item,No,1111
No,I did not try a plant-based menu item,Yes,1111
No,4 (Satisfied),Yes,1111
No,I did not try a plant-based menu item,Yes,1111
Yes,5 (Very Satisfied),Yes,1111
Yes,5 (Very Satisfied),Yes,1111
Yes,4 (Satisfied),No,1111
No,,No,1111
No,I did not try a plant-based menu item,No,1111
No,I did not try a plant-based menu item,,1111
No,I did not try a plant-based menu item,Yes,1111
No,I did not try a plant-based menu item,Yes,1111
No,I did not try a plant-based menu item,Yes,1111
No,I did not try a plant-based menu item,Yes,1111
No,I did not try a plant-based menu item,Yes,1111
No,I did not try a plant-based menu item,Yes,1111
Yes,5 (Very Satisfied),Yes,1111
No,I did not try a plant-based menu item,Yes,1111
No,4 (Satisfied),Yes,1111
No,I did not try a plant-based menu item,No,1111
No,"5 (Very Satisfied)
I did not try a plant-based menu item",No,1111
Yes,3 (Neutral),No,1111
No,I did not try a plant-based menu item,Yes,1111
No,I did not try a plant-based menu item,Yes,1111
Not Sure,5 (Very Satisfied),Yes,1111
No,5 (Very Satisfied),No,1111
No,I did not try a plant-based menu item,Yes,1111
Not Sure,4 (Satisfied),Yes,1111
No,I did not try a plant-based menu item,Yes,1111
Yes,5 (Very Satisfied),Yes,1111
No,I did not try a plant-based menu item,Yes,1111
No,I did not try a plant-based menu item,No,1111
No,I did not try a plant-based menu item,Yes,1111
Yes,5 (Very Satisfied),Yes,1111
No,4 (Satisfied),Yes,1111
Yes,4 (Satisfied),Yes,1111
Yes,5 (Very Satisfied),Yes,1111
No,I did not try a plant-based menu item,Yes,1111
No,4 (Satisfied),No,1111
No,5 (Very Satisfied),Yes,1111
No,I did not try a plant-based menu item,No,1111
No,I did not try a plant-based menu item,Yes,1111
No,I did not try a plant-based menu item,Yes,1111
No,"1 (Very Unsatisfied)
I did not try a plant-based menu item",No,1111
No,4 (Satisfied),No,1111
No,,Yes,1111
No,I did not try a plant-based menu item,Yes,1111
Yes,5 (Very Satisfied),Yes,1111
Not Sure,"3 (Neutral)
I did not try a plant-based menu item",Yes,1111
No,5 (Very Satisfied),Yes,1111
Yes,1 (Very Unsatisfied),No,1111
No,5 (Very Satisfied),Yes,1111
Not Sure,4 (Satisfied),No,1111
Yes,5 (Very Satisfied),Yes,1111
No,I did not try a plant-based menu item,Yes,1111
No,I did not try a plant-based menu item,Yes,1111
Not Sure,I did not try a plant-based menu item,No,1111
Yes,4 (Satisfied),Yes,1111
Yes,5 (Very Satisfied),Yes,1111
No,4 (Satisfied),No,1111
Yes,5 (Very Satisfied),Yes,1111
Yes,4 (Satisfied),Yes,1111
Yes,5 (Very Satisfied),Yes,1111
No,I did not try a plant-based menu item,No,1111
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,